experiment_id,experiment_name,model,dist_model,num_taxa,distance,length,alpha,ics_prop,replicate,pipeline,rf_distance,nrf_distance,best_model_bic,gamma_alpha
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,56,MSA+ML,4,0.068966,LG+G4,0.8326
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,57,MSA+ML,4,0.068966,LG+G4,1.0987
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,58,MSA+ML,2,0.034483,LG+G4,1.0889
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,59,MSA+ML,2,0.034483,LG+G4,1.1861
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,5,MSA+ML,0,0.0,LG+G4,0.8936
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,60,MSA+ML,4,0.068966,LG+G4,1.0934
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,61,MSA+ML,6,0.103448,LG+G4,1.1162
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,62,MSA+ML,6,0.103448,LG+G4,1.0591
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,63,MSA+ML,2,0.034483,LG+G4,1.2801
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,64,MSA+ML,8,0.137931,LG+G4,1.2038
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,65,MSA+ML,2,0.034483,LG+G4,0.9161
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,66,MSA+ML,2,0.034483,LG+G4,1.0747
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,67,MSA+ML,4,0.068966,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,68,MSA+ML,4,0.068966,Q.PFAM+G4,1.5714
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,69,MSA+ML,0,0.0,LG+G4,0.9229
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,6,MSA+ML,10,0.172414,Q.PFAM+G4,1.0997
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,70,MSA+ML,12,0.206897,LG+G4,0.9075
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,71,MSA+ML,4,0.068966,Q.PFAM+G4,0.9654
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,72,MSA+ML,8,0.137931,LG+G4,1.1136
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,73,MSA+ML,2,0.034483,LG+G4,0.9923
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,74,MSA+ML,2,0.034483,LG+G4,0.8407
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,75,MSA+ML,2,0.034483,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,76,MSA+ML,2,0.034483,LG+G4,0.7694
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,77,MSA+ML,6,0.103448,LG+G4,1.4755
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,78,MSA+ML,4,0.068966,LG+G4,1.1867
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,79,MSA+ML,2,0.034483,LG+G4,0.7666
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,7,MSA+ML,6,0.103448,LG+G4,1.3973
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,80,MSA+ML,6,0.103448,LG+G4,1.1368
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,81,MSA+ML,0,0.0,LG+G4,0.9032
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,82,MSA+ML,0,0.0,LG+G4,0.8988
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,83,MSA+ML,4,0.068966,LG+G4,0.9484
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,84,MSA+ML,2,0.034483,LG+G4,1.1303
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,85,MSA+ML,4,0.068966,Q.PFAM+G4,0.8584
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,86,MSA+ML,4,0.068966,LG+G4,1.5198
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,87,MSA+ML,6,0.103448,LG+G4,1.0678
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,88,MSA+ML,2,0.034483,LG+G4,0.9446
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,89,MSA+ML,4,0.068966,LG+G4,0.9905
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,8,MSA+ML,6,0.103448,LG+G4,1.0843
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,90,MSA+ML,8,0.137931,LG+R2,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,91,MSA+ML,4,0.068966,LG+G4,0.8231
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,92,MSA+ML,2,0.034483,LG+G4,1.4072
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,93,MSA+ML,4,0.068966,LG+G4,0.8583
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,94,MSA+ML,2,0.034483,LG+G4,1.1343
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,95,MSA+ML,0,0.0,LG+G4,1.2934
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,96,MSA+ML,0,0.0,LG+G4,1.2139
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,97,MSA+ML,6,0.103448,Q.PFAM+G4,1.1922
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,98,MSA+ML,4,0.068966,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,99,MSA+ML,2,0.034483,LG+G4,0.9427
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,1000,1.0,0.0,9,MSA+ML,2,0.034483,LG+G4,0.9523
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,100,MSA+ML,38,0.655172,CPREV+G4,0.7579
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,10,MSA+ML,20,0.344828,VT+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,11,MSA+ML,20,0.344828,RTREV+G4,0.5002
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,12,MSA+ML,12,0.206897,LG+G4,1.2049
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,13,MSA+ML,22,0.37931,LG+R2,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,14,MSA+ML,20,0.344828,VT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,15,MSA+ML,28,0.482759,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,16,MSA+ML,20,0.344828,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,17,MSA+ML,20,0.344828,LG+G4,0.6591
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,18,MSA+ML,20,0.344828,LG+G4,0.6687
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,19,MSA+ML,20,0.344828,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,1,MSA+ML,18,0.310345,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,20,MSA+ML,38,0.655172,Q.PLANT+G4,0.5489
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,21,MSA+ML,20,0.344828,Q.INSECT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,22,MSA+ML,26,0.448276,WAG+G4,0.8164
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,23,MSA+ML,24,0.413793,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,24,MSA+ML,20,0.344828,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,25,MSA+ML,18,0.310345,WAG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,26,MSA+ML,34,0.586207,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,27,MSA+ML,34,0.586207,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,28,MSA+ML,12,0.206897,LG+G4,0.8995
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,29,MSA+ML,20,0.344828,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,2,MSA+ML,16,0.275862,Q.PFAM+G4,0.6472
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,30,MSA+ML,22,0.37931,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,31,MSA+ML,30,0.517241,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,32,MSA+ML,20,0.344828,Q.INSECT+G4,1.3297
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,33,MSA+ML,28,0.482759,Q.INSECT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,34,MSA+ML,26,0.448276,Q.PFAM+G4,0.9647
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,35,MSA+ML,30,0.517241,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,36,MSA+ML,22,0.37931,LG+G4,0.7771
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,37,MSA+ML,18,0.310345,Q.INSECT+G4,0.8344
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,38,MSA+ML,40,0.689655,VT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,39,MSA+ML,16,0.275862,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,3,MSA+ML,22,0.37931,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,40,MSA+ML,28,0.482759,VT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,41,MSA+ML,26,0.448276,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,42,MSA+ML,18,0.310345,VT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,43,MSA+ML,20,0.344828,Q.INSECT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,44,MSA+ML,24,0.413793,VT+R2,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,45,MSA+ML,16,0.275862,Q.YEAST,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,46,MSA+ML,20,0.344828,Q.PFAM+G4,1.0149
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,47,MSA+ML,16,0.275862,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,48,MSA+ML,24,0.413793,Q.PFAM+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,49,MSA+ML,16,0.275862,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,4,MSA+ML,32,0.551724,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,50,MSA+ML,24,0.413793,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,51,MSA+ML,28,0.482759,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,52,MSA+ML,14,0.241379,CPREV+G4,1.2054
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,53,MSA+ML,20,0.344828,Q.PFAM+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,54,MSA+ML,38,0.655172,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,55,MSA+ML,22,0.37931,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,56,MSA+ML,32,0.551724,Q.PFAM+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,57,MSA+ML,30,0.517241,Q.YEAST+R2,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,58,MSA+ML,20,0.344828,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,59,MSA+ML,20,0.344828,Q.PFAM+G4,1.0958
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,5,MSA+ML,28,0.482759,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,60,MSA+ML,28,0.482759,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,61,MSA+ML,32,0.551724,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,62,MSA+ML,16,0.275862,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,63,MSA+ML,28,0.482759,Q.PFAM+G4,0.7698
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,64,MSA+ML,32,0.551724,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,65,MSA+ML,28,0.482759,VT,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,66,MSA+ML,28,0.482759,Q.PFAM+G4,1.0911
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,67,MSA+ML,36,0.62069,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,68,MSA+ML,28,0.482759,Q.PFAM+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,69,MSA+ML,26,0.448276,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,6,MSA+ML,26,0.448276,Q.PFAM+G4,1.1206
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,70,MSA+ML,20,0.344828,WAG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,71,MSA+ML,16,0.275862,Q.INSECT+G4,0.8164
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,72,MSA+ML,40,0.689655,LG+G4,0.5092
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,73,MSA+ML,12,0.206897,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,74,MSA+ML,26,0.448276,Q.YEAST+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,75,MSA+ML,26,0.448276,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,76,MSA+ML,22,0.37931,Q.PFAM+G4,1.154
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,77,MSA+ML,34,0.586207,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,78,MSA+ML,22,0.37931,LG+G4,1.2603
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,79,MSA+ML,32,0.551724,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,7,MSA+ML,34,0.586207,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,80,MSA+ML,18,0.310345,Q.YEAST+G4,1.1323
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,81,MSA+ML,18,0.310345,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,82,MSA+ML,20,0.344828,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,83,MSA+ML,32,0.551724,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,84,MSA+ML,20,0.344828,LG+G4,1.384
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,85,MSA+ML,30,0.517241,Q.PFAM,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,86,MSA+ML,34,0.586207,LG+G4,0.5182
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,87,MSA+ML,22,0.37931,Q.PFAM+G4,0.9763
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,88,MSA+ML,16,0.275862,WAG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,89,MSA+ML,22,0.37931,Q.PFAM+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,8,MSA+ML,24,0.413793,LG+G4,0.8311
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,90,MSA+ML,28,0.482759,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,91,MSA+ML,16,0.275862,Q.PFAM+G4,0.9438
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,92,MSA+ML,16,0.275862,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,93,MSA+ML,34,0.586207,Q.INSECT+G4,0.5323
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,94,MSA+ML,16,0.275862,LG+G4,0.8093
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,95,MSA+ML,20,0.344828,LG+G4,0.8764
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,96,MSA+ML,20,0.344828,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,97,MSA+ML,18,0.310345,LG+G4,0.9143
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,98,MSA+ML,16,0.275862,LG,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,99,MSA+ML,32,0.551724,Q.PFAM+G4,0.7596
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,100,1.0,0.0,9,MSA+ML,28,0.482759,Q.INSECT+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,100,MSA+ML,6,0.103448,LG+G4,1.1996
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,10,MSA+ML,4,0.068966,LG+G4,0.8018
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,11,MSA+ML,12,0.206897,LG+G4,0.708
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,12,MSA+ML,10,0.172414,LG+G4,1.6387
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,13,MSA+ML,8,0.137931,LG+G4,1.069
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,14,MSA+ML,4,0.068966,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,15,MSA+ML,4,0.068966,LG+G4,0.6832
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,16,MSA+ML,4,0.068966,LG+G4,0.6497
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,17,MSA+ML,6,0.103448,LG+G4,0.8656
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,18,MSA+ML,6,0.103448,LG+G4,1.4762
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,19,MSA+ML,4,0.068966,LG+G4,0.9973
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,1,MSA+ML,8,0.137931,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,20,MSA+ML,12,0.206897,LG+G4,1.9072
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,21,MSA+ML,8,0.137931,LG+G4,0.6849
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,22,MSA+ML,6,0.103448,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,23,MSA+ML,6,0.103448,LG+G4,1.1156
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,24,MSA+ML,6,0.103448,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,25,MSA+ML,4,0.068966,LG+I,
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,26,MSA+ML,20,0.344828,LG+G4,0.7462
Exp3_Alpha,Exp3: Rate Heterogeneity (alpha),LG+G4,poisson,32,0.1,500,1.0,0.0,27,MSA+ML,20,0.344828,LG+G4,0.9293
